2.985052 0.170000 
3.199284 0.160000 
2.051276 0.180000 
1.849610 0.150000 
1.461282 0.070000 
1.110561 0.070000 
1.703913 0.070000 
1.138959 0.060000 
0.776862 0.060000 
0.651381 0.070000 
0.492165 0.060000 
0.311172 0.060000 
0.268166 0.060000 
0.229365 0.060000 
0.145682 0.060000 
0.155439 0.050000 
0.102413 0.050000 
0.089492 0.050000 
0.073141 0.060000 
0.075311 0.040000 
0.069412 0.050000 
0.046129 0.050000 
0.029871 0.050000 
0.020335 0.050000 
0.013428 0.040000 
0.011319 0.050000 
0.008168 0.050000 
0.011664 0.060000 
0.008425 0.060000 
0.004697 0.070000 
0.002674 0.070000 
0.002633 0.050000 
0.001949 0.030000 
0.001953 0.040000 
0.001376 0.050000 
0.001199 0.060000 
0.001129 0.070000 
0.000641 0.080000 
0.000542 0.050000 
0.000492 0.050000 
0.000427 0.050000 
0.000315 0.050000 
0.000328 0.050000 
0.000293 0.050000 
0.000141 0.050000 
0.000117 0.050000 
0.000067 0.050000 
0.000062 0.050000 
0.000056 0.050000 
0.000045 0.050000 
0.000039 0.050000 
0.000042 0.050000 
0.000029 0.050000 
0.000019 0.050000 
0.000016 0.040000 
0.000012 0.050000 
0.000010 0.050000 
0.000009 0.050000 
0.000007 0.050000 
0.000006 0.040000 
0.000006 0.040000 
0.000003 0.040000 
0.000003 0.040000 
0.000003 0.040000 
0.000002 0.040000 
0.000002 0.040000 
0.000002 0.050000 
0.000002 0.040000 
0.000001 0.050000 
0.000001 0.040000 
0.000001 0.040000 
0.000001 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.050000 
0.000000 0.060000 
0.000000 0.050000 
0.000000 0.070000 
0.000000 0.070000 
0.000000 0.080000 
0.000000 0.110000 
0.000000 0.070000 
0.000000 0.060000 
0.000000 0.100000 
0.000000 0.060000 
0.000000 0.060000 
0.000000 0.070000 
0.000000 0.080000 
0.000000 0.090000 
0.000000 0.080000 
0.000000 0.080000 
0.000000 0.070000 
0.000000 0.070000 
0.000000 0.070000 
0.000000 0.060000 
0.000000 0.060000 
0.000000 0.040000 
0.000000 0.050000 
0.000000 0.060000 
0.000000 0.060000 
0.000000 0.060000 
0.000000 0.070000 
0.000000 0.060000 
0.000000 0.220000 
0.000000 0.160000 
0.042617 0.210000 
0.040975 0.190000 
0.027664 0.160000 
-nan 0.300000 
-nan 0.200000 
-nan 0.260000 
-nan 0.310000 
-nan 0.310000 
-nan 0.290000 
-nan 0.230000 
-nan 0.210000 
-nan 0.180000 
-nan 0.380000 
-nan 0.400000 
-nan 0.400000 
-nan 0.460000 
-nan 0.420000 
-nan 0.400000 
